序号,年份,组合,试点,基本苗（万/亩）,最高苗（万/亩）,分蘖率(%),有效穗（万/亩）,成穗率（%）,株高（cm）,穗长（cm）,每穗总粒数,每穗实粒数,结实率(%),千粒重(g),播期（月/日）,栽期（月/日）,秧龄/天,始穗（月/日）,齐穗（月/日）,成熟期（月/日）,全生育期（天）
440,2009,天两优8024,全椒,6.2,34.4,454.8,18.5,53.8,123,21,155.3,120,77.3,26.6,4月30日,6月2日,33,8月8日,8月12日,9月14日,136
441,2009,两优672,省院,4,22,450,12.8,58.2,128,26.6,167.9,117.1,69.7,27.5,5月5日,6月6日,32,8月16日,8月19日,9月24日,142
442,2009,两优672,凤阳,4.3,20.2,369.8,15,74.3,113.4,22.5,154.3,136,88.1,29.8,5月7日,6月13日,37,8月21日,8月24日,10月2日,148
443,2009,两优672,芜湖,7,27.9,298.6,16.7,59.9,124,28,175,141.6,80.9,29.6,5月8日,6月9日,32,8月15日,8月19日,9月20日,135
444,2009,两优672,六安,4.5,31.4,597.8,15.2,48.4,132.7,22.3,127.6,90.6,71,25.5,4月28日,5月30日,31,8月16日,8月20日,9月18日,143
445,2009,两优672,全椒,4.7,36.4,674.5,19.2,52.7,121.7,26.2,159.2,127.7,80.2,29.2,4月30日,6月2日,33,8月6日,8月10日,9月11日,133
446,2009,两优抗74,省院,3,22.8,660,11.8,51.8,132,25.9,203.5,181,88.9,26.9,5月5日,6月6日,32,8月10日,8月13日,9月18日,136
447,2009,两优抗74,凤阳,3.1,18.5,496.8,12.8,69.2,115.5,21.9,204.5,184.5,90.2,28.9,5月7日,6月13日,37,8月16日,8月20日,9月29日,145
448,2009,两优抗74,芜湖,6.7,27.1,304.5,17.6,64.9,137.6,23.3,185.3,152.5,82.3,27.4,5月8日,6月9日,32,8月10日,8月15日,9月17日,132
449,2009,两优抗74,六安,4.8,30.2,529.2,18,59.6,132,21.9,171.1,121.3,70.9,24.3,4月28日,5月30日,31,8月14日,8月17日,9月17日,142
450,2009,两优抗74,全椒,4.2,31.4,647.6,13.6,43.3,125.8,25.3,180.7,145.3,80.4,28.6,4月30日,6月2日,33,7月28日,8月6日,9月4日,126
451,2009,屯丰两优1号,省院,3.4,23.2,582.4,15.8,68.1,121,24.8,172.9,134.2,77.6,24.9,5月5日,6月6日,32,8月2日,8月5日,9月10日,128
452,2009,屯丰两优1号,凤阳,3.8,22,478.9,14,63.6,104.6,19.1,160,156,97.5,27.2,5月7日,6月13日,37,8月12日,8月15日,9月20日,136
453,2009,屯丰两优1号,芜湖,7.6,28.5,275,18.1,63.5,125.3,24.3,178.4,140.2,78.6,27.8,5月8日,6月9日,32,8月4日,8月7日,9月7日,122
454,2009,屯丰两优1号,六安,3.1,26.8,764.5,17.1,63.8,117.5,24.1,181.2,135.9,75,27.2,4月28日,5月30日,31,8月4日,8月8日,9月6日,131
455,2009,屯丰两优1号,全椒,4.4,27.6,527.3,17.7,64.1,124.2,24.7,180.5,129.2,71.6,26.8,4月30日,6月2日,33,7月28日,8月2日,9月2日,124
456,2009,两优311,省院,3.4,22.8,570.6,11.4,50,131,23.4,171.9,128.1,74.5,30.6,5月5日,6月6日,32,8月18日,8月21日,9月25日,143
457,2009,两优311,凤阳,2.6,17.2,561.5,15.9,92.4,123.5,19.1,135.7,125.6,92.6,30.2,5月7日,6月13日,37,8月24日,8月28日,10月14日,160
458,2009,两优311,芜湖,6.1,24.7,304.9,16.2,65.6,138.9,29.1,171.8,141.6,82.4,30.5,5月8日,6月9日,32,8月19日,8月23日,9月22日,137
459,2009,两优311,六安,4.6,33,617.4,17.9,54.2,134.9,23.1,132.2,94.8,71.7,29.3,4月28日,5月30日,31,8月22日,8月24日,9月20日,145
460,2009,两优311,全椒,4,30.8,670,15.6,50.6,132,23.8,172.1,120.9,70.2,27.3,4月30日,6月2日,33,8月15日,8月18日,9月18日,140
461,2009,科两优008,省院,3.4,22.8,570.6,12.4,54.4,120,22.2,215,53.8,25,24,5月5日,6月6日,32,8月9日,8月11日,9月12日,130
462,2009,科两优008,凤阳,2.9,18.8,548.3,16.8,89.4,102.5,20.6,136,125.6,92.4,27.3,5月7日,6月13日,37,8月12日,8月15日,9月21日,137
463,2009,科两优008,芜湖,8.2,30.6,273.2,19.3,63.1,114.5,21.2,182.2,139.2,76.4,25.7,5月8日,6月9日,32,8月7日,8月11日,9月10日,125
464,2009,科两优008,六安,3.8,28,636.8,15,53.6,110.1,23,186.4,123.4,66.2,28,4月28日,5月30日,31,8月3日,8月5日,9月5日,130
465,2009,科两优008,全椒,4,29.2,630,14.8,50.7,111.2,22.9,189.2,119.4,63.1,28.6,4月30日,6月2日,33,8月6日,8月9日,9月5日,127
466,2009,川谷优209,省院,3,18.8,526.7,12.8,68.1,132,27.3,181.4,150.3,82.8,29,5月5日,6月6日,32,8月16日,8月19日,9月24日,142
467,2009,川谷优209,凤阳,3.1,19.1,516.1,11.8,61.8,132.8,30,200.1,178.2,89,30,5月7日,6月13日,37,8月23日,8月26日,10月12日,158
468,2009,川谷优209,芜湖,7.9,28.9,265.8,17.5,60.6,133,26.4,174.3,137,78.6,29.7,5月8日,6月9日,32,8月14日,8月18日,9月21日,136
469,2009,川谷优209,六安,5,29,480,15.1,52.1,131.5,23.1,153.1,116.5,76.1,25.7,4月28日,5月30日,31,8月17日,8月19日,9月17日,142
470,2009,川谷优209,全椒,4.2,31.6,652.4,14.2,44.9,135.8,26.2,164.9,135.2,82,29.1,4月30日,6月2日,33,8月17日,8月20日,9月18日,140
471,2009,徽两优5号,省院,3.8,27.6,626.3,21.8,79,125,24.3,173.1,159.6,92.2,29.4,5月5日,6月6日,32,8月12日,8月16日,9月22日,140
472,2009,徽两优5号,凤阳,4.2,23.4,457.1,14.2,60.7,120.6,21.5,161.3,150.2,93.1,30.3,5月7日,6月13日,37,8月19日,8月22日,10月6日,152
473,2009,徽两优5号,芜湖,6.4,25.1,292.2,16.4,65.3,128.1,25,181.5,156.3,86.1,29.9,5月8日,6月9日,32,8月11日,8月16日,9月17日,132
474,2009,徽两优5号,六安,5.2,28.4,446.2,14.9,52.5,129.1,21.6,146.2,129.2,88.4,27.8,4月28日,5月30日,31,8月12日,8月14日,9月16日,141
475,2009,徽两优5号,全椒,4,32.4,710,18.4,56.8,130,23.3,153.9,119.5,77.6,27.8,4月30日,6月2日,33,8月9日,8月13日,9月15日,137
476,2009,闽两优3301,省院,3.4,22.8,570.6,12.4,54.4,127,25.8,203.8,145.5,71.4,26.6,5月5日,6月6日,32,8月14日,8月17日,9月20日,138
477,2009,闽两优3301,凤阳,3.4,20.2,552.9,12.8,63.4,120.1,23.2,201.2,178.8,88.9,30.5,5月7日,6月13日,37,8月21日,8月24日,10月13日,158
478,2009,闽两优3301,芜湖,6.7,25.2,276.1,15.8,62.7,134.8,24.6,194.8,165.1,84.8,29.2,5月8日,6月9日,32,8月15日,8月19日,9月21日,136
479,2009,闽两优3301,六安,4.6,27,487,16.9,62.6,132.3,21.5,149.7,128.9,86.1,26.8,4月28日,5月30日,31,8月17日,8月19日,9月21日,146
480,2009,闽两优3301,全椒,4,29.6,640,16.3,55.1,137.7,22.9,194.3,138.4,71.2,27.8,4月30日,6月2日,33,8月11日,8月16日,9月16日,138
481,2009,武香两优46,省院,4.4,19.2,336.4,11.2,58.3,124,27.9,175.3,116.7,66.6,26.7,5月5日,6月6日,32,8月8日,8月11日,9月12日,130
482,2009,武香两优46,凤阳,2.8,18.2,550,12.6,69.2,112.3,22.7,195.2,180.7,92.6,24.9,5月7日,6月13日,37,8月15日,8月18日,9月20日,136
483,2009,武香两优46,芜湖,6.3,24.3,285.7,16,65.8,123.4,24.2,168.3,136.8,81.3,28,5月8日,6月9日,32,8月4日,8月8日,9月4日,119
484,2009,武香两优46,六安,4.8,21.6,350,15.1,69.9,125.1,27,248.6,198.9,80,29.6,4月28日,5月30日,31,8月5日,8月8日,9月7日,132
485,2009,武香两优46,全椒,5.2,30.6,488.5,14.4,47.1,126.3,25.6,233.4,153.9,65.9,29.5,4月30日,6月2日,33,8月5日,8月10日,9月6日,128
486,2009,盐两优1号,省院,2.6,22,746.2,16.2,73.6,123,25.1,193.1,164.1,85,29.2,5月5日,6月6日,32,8月17日,8月20日,9月25日,143
487,2009,盐两优1号,凤阳,3.8,20.4,436.8,12.3,60.3,114.1,24,178.9,153.6,85,28,5月7日,6月13日,37,8月24日,8月27日,10月13日,158
488,2009,盐两优1号,芜湖,7.1,26,266.2,15.7,60.4,121.4,27.7,153.3,119.4,77.9,28.7,5月8日,6月9日,32,8月17日,8月22日,9月20日,135
489,2009,盐两优1号,六安,4.2,27.8,561.9,16.6,59.7,120.5,21.8,118.7,92.4,77.8,27.7,4月28日,5月30日,31,8月25日,8月28日,9月23日,148
490,2009,盐两优1号,全椒,4.9,40,716.3,16.8,42,107.5,22.9,176.1,123.2,70,28.2,4月30日,6月2日,33,8月14日,8月18日,9月19日,141
491,2009,两优39,省院,3.8,24.4,542.1,13.8,56.6,132,25.1,161.2,121.2,75.2,26.7,5月5日,6月6日,32,8月8日,8月11日,9月12日,130
492,2009,两优39,凤阳,2.4,16.5,587.5,13.8,83.6,115.5,19.5,163.7,152,92.9,24.7,5月7日,6月13日,37,8月11日,8月15日,9月20日,136
493,2009,两优39,芜湖,7,27.4,291.4,18.6,67.9,125.3,25.2,163.7,124.5,76.1,28.1,5月8日,6月9日,32,8月7日,8月10日,9月10日,125
494,2009,两优39,六安,5.3,38.4,624.5,17.9,46.6,128.7,23.2,135.7,122.3,90.1,26.3,4月28日,5月30日,31,8月2日,8月5日,9月5日,130
495,2009,两优39,全椒,4.3,35.2,718.6,16.2,46,128.3,26.9,174.7,139.7,80,25.3,4月30日,6月2日,33,8月2日,8月5日,9月2日,124
496,2009,Ⅱ优838（CK）,省院,4.8,25.4,429.2,15.4,60.6,130,22.1,240.3,203.6,84.7,25.6,5月5日,6月6日,32,8月9日,8月12日,9月21日,139
497,2009,Ⅱ优838（CK）,凤阳,2.6,17.8,584.6,13.3,74.7,128.6,21.4,177.7,163.3,92.5,29,5月7日,6月13日,37,8月19日,8月21日,10月2日,148
498,2009,Ⅱ优838（CK）,芜湖,7.5,28.3,277.3,17.9,63.3,134.2,23.3,172.1,143.7,83.5,28,5月8日,6月9日,32,8月10日,8月15日,9月17日,132
499,2009,Ⅱ优838（CK）,六安,4.9,27,451,16.4,60.7,126.6,22.3,152.8,129.9,85,27.3,4月28日,5月30日,31,8月13日,8月15日,9月16日,141
500,2009,Ⅱ优838（CK）,全椒,6,33.6,460,16.4,48.8,130.5,21.9,170.8,136.9,80.2,27.2,4月30日,6月2日,33,8月11日,8月14日,9月16日,138
501,2009,Y两优25,省院,4.4,25.2,472.7,16.2,64.3,125,28.7,168.7,135.6,80.4,25.2,5月5日,6月6日,32,8月12日,8月15日,9月21日,139
502,2009,Y两优25,凤阳,3.8,22.8,500,14,61.4,123.6,27.4,178.3,167.4,93.9,28,5月7日,6月13日,37,8月20日,8月23日,10月11日,157
503,2009,Y两优25,芜湖,6.9,27.5,298.6,18.7,68,126.7,26.5,176.4,145.9,82.7,27.5,5月8日,6月9日,32,8月13日,8月17日,9月19日,134
504,2009,Y两优25,六安,5.3,41.2,677.4,19.6,47.6,122.4,23,137.1,125.6,91.6,25.2,4月28日,5月30日,31,8月17日,8月19日,9月19日,144
505,2009,Y两优25,全椒,5.5,38.8,605.5,16.8,37.5,130.8,25.9,174.6,143.4,82.1,27.7,4月30日,6月2日,33,8月11日,8月14日,9月14日,136
506,2009,宝两优2号,省院,3,21.6,620,12,55.6,124,26.9,163,120.5,73.9,27.9,5月5日,6月6日,32,8月7日,8月10日,9月12日,130
507,2009,宝两优2号,凤阳,3.5,23,557.1,15.1,73,108.5,22.7,162.7,129.3,79.5,30.7,5月7日,6月13日,37,8月15日,8月18日,9月23日,139
508,2009,宝两优2号,芜湖,8.1,29.1,259.3,17,58.4,121.7,28,174.9,140.3,80.2,29,5月8日,6月9日,32,8月7日,8月10日,9月17日,132
509,2009,宝两优2号,六安,4.5,33.2,637.8,17.1,51.5,123,26.5,165.3,134.2,81.2,27,4月28日,5月30日,31,8月7日,8月10日,9月16日,141
510,2009,宝两优2号,全椒,6.2,38.2,516.1,18.2,47.6,125.7,26.3,154.3,128,83,26.5,4月30日,6月2日,33,8月2日,8月5日,9月3日,125
511,2009,K优华占,省院,4,26.4,560,19.6,74.2,123,20.7,201.5,152.5,75.7,24.5,5月5日,6月6日,32,8月9日,8月11日,9月15日,133
512,2009,K优华占,凤阳,3.8,20.6,442.1,13.1,63.6,115.5,22.5,206.7,179.2,86.7,26.4,5月7日,6月13日,37,8月15日,8月18日,9月20日,136
513,2009,K优华占,芜湖,6.8,25.9,280.9,18.3,70.7,115.2,22.9,192,150.1,78.2,26.3,5月8日,6月9日,32,8月8日,8月11日,9月14日,129
514,2009,K优华占,六安,4.9,30.6,524.5,16.5,53.9,116.3,20.6,162.6,133.7,82.2,28.1,4月28日,5月30日,31,8月9日,8月12日,9月10日,135
515,2009,K优华占,全椒,4.7,34.6,636.2,18.5,53.5,120,22.2,154.4,104.7,67.8,26.9,4月30日,6月2日,33,8月8日,8月11日,9月12日,134
516,2009,44优1245,省院,3.6,23.8,561.1,14.6,61.3,131,25.8,164.8,134.9,81.8,27.1,5月5日,6月6日,32,8月13日,8月16日,9月20日,138
517,2009,44优1245,凤阳,3.2,21.8,581,13.8,63.3,125.1,23.5,196.4,164.4,83.7,30,5月7日,6月13日,37,8月21日,8月23日,10月13日,159
518,2009,44优1245,芜湖,7.2,27.2,277.8,17.4,64,124.2,24.8,169.3,142.2,84,29.4,5月8日,6月9日,32,8月12日,8月18日,9月18日,133
519,2009,44优1245,六安,3.1,29.2,841.9,18.1,62,130.1,23.7,168.4,126.7,75.2,29.6,4月28日,5月30日,31,8月15日,8月17日,9月18日,143
520,2009,44优1245,全椒,5.5,38,590.9,15.3,40.3,134.8,22.6,167.3,129.3,77.3,27.4,4月30日,6月2日,33,8月14日,8月17日,9月17日,139
521,2009,浙辐两优12,省院,4.8,24.8,416.7,15,60.5,136,25.4,175.3,117.3,66.9,29.7,5月5日,6月6日,32,8月18日,8月21日,9月25日,143
522,2009,浙辐两优12,凤阳,3.6,24.6,583.3,14.8,60.2,130.5,27.4,203.5,170.1,83.6,29,5月7日,6月14日,38,9月2日,9月5日,10月15日,161
523,2009,浙辐两优12,芜湖,6.5,25.4,290.8,17.8,70.1,132.1,26.2,173.9,135.5,77.9,30.4,5月8日,6月9日,32,8月19日,8月23日,9月23日,138
524,2009,浙辐两优12,六安,4.8,29,504.2,16,55.2,130.7,23.9,147.1,128.5,87.4,29.5,4月28日,5月30日,31,8月20日,8月22日,9月21日,148
525,2009,浙辐两优12,全椒,3.4,25.2,641.2,13,51.6,135.8,23.9,168.9,142.8,84.5,31.7,4月30日,6月6日,37,8月20日,8月23日,9月17日,140
526,2009,1892S/丰99,省院,4.2,28.8,585.7,15.2,52.8,125,25.3,185,153.7,83.1,25.7,5月5日,6月6日,32,8月10日,8月13日,9月18日,136
527,2009,1892S/丰99,凤阳,3.9,26.8,587.2,16.1,60.1,123,22.9,163.7,147,89.8,28.3,5月7日,6月14日,38,8月21日,8月24日,9月28日,144
528,2009,1892S/丰99,芜湖,7.3,27.7,279.5,18.1,65.3,119.2,23.1,181.4,151.8,83.7,27.6,5月8日,6月9日,32,8月9日,8月15日,9月14日,129
529,2009,1892S/丰99,六安,3.8,29.6,678.9,16.2,54.7,115,21.3,157.5,128,81.3,26.8,4月28日,5月30日,31,8月10日,8月14日,9月16日,141
530,2009,1892S/丰99,全椒,5.2,35.6,584.6,18.2,51.1,119.2,23.7,157.3,128.2,81.5,28.4,4月30日,6月6日,37,8月3日,8月5日,9月6日,129
531,2009,广抗优明118,省院,4,27.8,595,18.6,66.9,130,21.1,145.2,119.3,82.1,25.5,5月5日,6月6日,32,8月16日,8月19日,9月21日,139
532,2009,广抗优明118,凤阳,4.2,29.3,597.6,17.6,60.1,129.1,22.9,167.7,156,93,26.8,5月7日,6月14日,38,8月25日,8月28日,10月7日,153
533,2009,广抗优明118,芜湖,8.1,29.4,263,17.6,59.9,132.6,24.6,160.5,138.7,86.4,28.5,5月8日,6月9日,32,8月14日,8月20日,9月19日,134
534,2009,广抗优明118,六安,3.8,22,478.9,17.8,80.9,129.7,22.1,164.3,133.9,81.5,27.3,4月28日,5月30日,31,8月18日,8月20日,9月18日,143
535,2009,广抗优明118,全椒,5,29,480,17.4,60,128.5,22.8,164.4,133.3,81.1,28.4,4月30日,6月6日,37,8月18日,8月20日,9月11日,134
536,2009,两优6919,省院,3.2,20.8,550,12.4,59.6,133,22.3,196.8,157.2,79.9,26.5,5月5日,6月6日,32,8月11日,8月14日,9月20日,138
537,2009,两优6919,凤阳,3.5,24,585.7,14.9,62.1,129.2,22.3,169.3,158.3,93.5,28.2,5月7日,6月14日,38,8月20日,8月24日,10月2日,148
538,2009,两优6919,芜湖,7.5,28.6,281.3,19,66.4,129.1,21.7,178.7,147.4,82.5,27.8,5月8日,6月9日,32,8月9日,8月16日,9月14日,129
539,2009,两优6919,六安,4.8,32.4,575,18.2,56.2,125.8,20.9,165.1,136.7,82.8,26.1,4月28日,5月30日,31,8月9日,8月13日,9月19日,144
540,2009,两优6919,全椒,4.4,29.6,572.7,15,50.7,125.7,24.6,191.6,153.3,80,28.3,4月30日,6月6日,37,8月8日,8月11日,9月7日,130
541,2009,555A/辐恢166,省院,5.2,25.6,392.3,14.2,55.5,130,24.4,163,115.5,70.8,30.3,5月5日,6月6日,32,8月17日,8月21日,9月23日,141
542,2009,555A/辐恢166,凤阳,2.9,19.7,579.3,14,71.1,132.1,26.6,190.1,168.7,88.7,29.4,5月7日,6月14日,38,8月28日,9月1日,10月7日,153
543,2009,555A/辐恢166,芜湖,6.4,25.8,303.1,16.4,63.6,134.5,25.5,165.3,136.9,82.8,30.6,5月8日,6月9日,32,8月17日,8月21日,9月22日,137
544,2009,555A/辐恢166,六安,4.2,25.2,500,15,59.5,134.7,24.4,135.5,119.5,88.2,29.8,4月28日,5月30日,31,8月18日,8月20日,9月19日,144
545,2009,555A/辐恢166,全椒,5,28.2,464,14.6,51.8,133,25.5,135.1,113.7,84.2,31.6,4月30日,6月6日,37,8月22日,8月24日,9月15日,138
546,2009,开优19号,省院,5.6,26.8,378.6,15.2,56.7,130,24.3,210.4,157.3,74.8,24.1,5月5日,6月6日,32,8月9日,8月12日,9月20日,138
547,2009,开优19号,凤阳,4.6,27.1,489.1,16.4,60.5,129.3,23.7,168.7,149.1,88.4,27.3,5月7日,6月14日,38,8月20日,8月23日,9月28日,144
548,2009,开优19号,芜湖,6.7,25.4,279.1,18.2,71.7,128.4,23.8,191.5,160.1,83.6,26.8,5月8日,6月9日,32,8月12日,8月16日,9月18日,133
549,2009,开优19号,六安,4.3,30.8,616.3,14.8,48.1,127.4,23.2,171,144.3,84.4,26.9,4月28日,5月30日,31,8月15日,8月17日,9月19日,144
550,2009,开优19号,全椒,4.4,27.5,525,17.8,64.7,135.5,22.9,171.8,134.5,78.3,26.8,4月30日,6月6日,37,8月14日,8月16日,9月12日,135
551,2009,Ⅱ优838（CK）,省院,4.6,23.2,404.3,13.8,59.5,130,22.7,242.3,178.6,73.7,24.3,5月5日,6月6日,32,8月11日,8月14日,9月20日,138
552,2009,Ⅱ优838（CK）,凤阳,3.4,23.4,588.2,15.6,66.7,129.4,21.5,150.5,131.9,87.6,29.5,5月7日,6月14日,38,8月20日,8月23日,10月2日,148
553,2009,Ⅱ优838（CK）,芜湖,7.4,27.9,277,17.5,62.7,131.3,23,170.3,143.2,84.1,28.1,5月8日,6月9日,32,8月10日,8月15日,9月17日,132
554,2009,Ⅱ优838（CK）,六安,5.1,30.2,492.2,15.4,51,127,21.3,166.8,139.2,83.5,29.1,4月28日,5月30日,31,8月12日,8月14日,9月17日,142
555,2009,Ⅱ优838（CK）,全椒,3.4,29.6,770.6,15.6,52.7,133,21.8,166.8,143.5,86,28.5,4月30日,6月6日,37,8月12日,8月14日,9月11日,134
556,2009,G两优5088,省院,2.8,21.6,671.4,11.6,53.7,121,27.1,151.6,116.5,76.8,26.6,5月5日,6月6日,32,8月16日,8月19日,9月21日,139
557,2009,G两优5088,凤阳,2.8,19.5,596.4,11.7,60,127,25.1,152.9,134.9,88.2,33.5,5月7日,6月14日,38,8月26日,8月29日,10月2日,148
558,2009,G两优5088,芜湖,6.8,26.3,286.8,15.9,60.5,127.7,27.4,150.8,128.6,85.3,31.1,5月8日,6月9日,32,8月12日,8月18日,9月15日,130
559,2009,G两优5088,六安,5,26.6,432,15.3,57.5,128,24.1,163.2,118.6,72.7,29.3,4月28日,5月30日,31,8月16日,8月18日,9月17日,142
560,2009,G两优5088,全椒,4,26.8,570,13.7,51.1,131.8,26.8,175.7,136.3,77.6,33,4月30日,6月6日,37,8月17日,8月20日,9月10日,133
561,2009,两优广6,省院,4.2,26.2,523.8,14.2,54.2,130,22.2,201.3,148.4,73.7,27.8,5月5日,6月6日,32,8月17日,8月20日,9月23日,141
562,2009,两优广6,凤阳,3.1,20.2,551.6,12.3,60.9,124.7,23.9,200.1,183.7,91.8,27.9,5月7日,6月14日,38,8月28日,9月2日,10月8日,154
563,2009,两优广6,芜湖,7,26.7,281.4,16.3,61,127,24.4,184,148.3,80.6,26.6,5月8日,6月9日,32,8月16日,8月22日,9月18日,133
564,2009,两优广6,六安,4.9,24,389.8,13.8,57.5,130.7,21.2,180.1,144.9,80.5,27.4,4月28日,5月30日,31,8月18日,8月20日,9月17日,142
565,2009,两优广6,全椒,4.4,27,513.6,15.3,56.7,129.3,22.7,217.1,153.1,70.5,28.2,4月30日,6月6日,37,8月13日,8月19日,9月7日,130
566,2009,Ⅱ优R24,省院,6,24.4,306.7,14.2,58.2,131,26.4,181.8,145.2,79.9,27.2,5月5日,6月6日,32,8月13日,8月16日,9月20日,138
567,2009,Ⅱ优R24,凤阳,3.2,21,556.3,12.6,60,127.2,24.5,168,150,89.3,30.8,5月7日,6月14日,38,8月20日,8月23日,10月1日,147
568,2009,Ⅱ优R24,芜湖,6.2,25.5,311.3,16.7,65.5,126.8,22.9,167.2,142.8,85.4,29,5月8日,6月9日,32,8月10日,8月15日,9月18日,133
569,2009,Ⅱ优R24,六安,4.6,25.4,452.2,14.2,55.9,127.3,23,197.3,160.7,81.4,27.2,4月28日,5月30日,31,8月16日,8月18日,9月19日,144
570,2009,Ⅱ优R24,全椒,5.2,28,438.5,14.2,50.7,134,26.7,201.9,160.1,79.3,30,4月30日,6月6日,37,8月13日,8月16日,9月12日,135
571,2010,Ⅱ优099,省院,5.4,28.2,422.2,16,56.7,123,25.3,133.8,92,68.8,26.9,5月7日,6月5日,29,8月10日,8月13日,9月22日,138
572,2010,Ⅱ优099,凤阳,4.3,18.3,325.6,13.7,74.9,126.8,29.9,180.5,169,93.6,27.7,5月12日,6月19日,38,8月16日,8月18日,10月1日,142
573,2010,Ⅱ优099,芜湖,7.1,28.5,301.4,17.6,61.8,116.3,26.2,164.5,132.1,80.3,27,5月8日,6月9日,32,8月11日,8月14日,9月16日,131
574,2010,Ⅱ优099,六安,3.2,22.4,600,15.2,67.9,124.2,24.8,153.7,125.6,81.7,30.3,4月29日,5月31日,31,8月10日,8月12日,9月9日,133
575,2010,Ⅱ优099,全椒,6.4,27.6,331.3,18.3,66.3,131.7,27.3,156.9,110.8,70.6,28.7,4月30日,6月7日,37,8月11日,8月14日,9月13日,136
576,2010,富两优6号,省院,5.6,33,489.3,14.7,44.4,118,26,213.4,94.1,44.1,27,5月7日,6月5日,29,8月13日,8月16日,9月24日,140
577,2010,富两优6号,凤阳,3.8,22.8,500,15.4,67.5,132.4,25.7,176.7,158.5,89.7,28.6,5月12日,6月19日,38,8月27日,8月31日,10月18日,159
578,2010,富两优6号,芜湖,6.7,27.4,309,16.5,60.2,135,25.5,181.8,146.7,80.7,25.5,5月8日,6月9日,32,8月18日,8月23日,9月23日,138
579,2010,富两优6号,六安,3.6,27.6,666.7,15.7,56.9,132.9,21.7,167.3,128.9,77,30.2,4月29日,5月31日,31,8月7日,8月11日,9月7日,131
580,2010,富两优6号,全椒,5.8,27.8,379.3,12.3,44.2,135.2,26.9,242.3,176.4,72.8,27.6,4月30日,6月7日,37,8月19日,8月23日,9月22日,145
581,2010,川18A/HR2168,省院,3.2,27.6,762.5,14,50.7,105,26.7,144.2,90.5,62.7,26.1,5月7日,6月5日,29,8月10日,8月13日,9月16日,132
582,2010,川18A/HR2168,凤阳,3.1,19.6,532.3,14.5,74,122.2,27.2,258.9,180,69.5,24.8,5月12日,6月19日,38,8月18日,8月20日,10月4日,145
583,2010,川18A/HR2168,芜湖,6.9,27.3,295.7,17.8,65.2,114.4,26.5,161,135.6,84.2,27.5,5月8日,6月9日,32,8月11日,8月14日,9月16日,131
584,2010,川18A/HR2168,六安,3.8,29.6,678.9,18.8,63.5,123.2,26.5,159.1,120.5,75.7,30.1,4月29日,5月31日,31,8月9日,8月11日,9月8日,132
585,2010,川18A/HR2168,全椒,5.6,25.8,360.7,16.7,64.7,121.3,32.2,193.4,129.7,67.1,27.9,4月30日,6月7日,37,8月12日,8月15日,9月14日,137
586,2010,特优125,省院,4.2,31.4,647.6,14,44.6,100,25.6,113.6,80.3,70.7,29.9,5月7日,6月5日,29,8月6日,8月8日,9月22日,138
587,2010,特优125,凤阳,3.2,18.2,468.8,13.4,73.6,118.7,28.6,180.6,163.2,90.4,28.8,5月12日,6月19日,38,8月11日,8月14日,9月27日,138
588,2010,特优125,芜湖,7.5,28.2,276,18.3,64.9,120.9,24.1,171.2,134.2,78.4,28.9,5月8日,6月9日,32,8月4日,8月7日,9月3日,118
589,2010,特优125,六安,3.6,24.8,588.9,17.2,69.4,121.2,28.4,161.8,141.9,87.7,31.5,4月29日,5月31日,31,8月2日,8月5日,9月4日,128
590,2010,特优125,全椒,6.2,29.6,377.4,17.1,57.8,123.5,27.5,158.1,115.8,73.2,31.2,4月30日,6月7日,37,8月7日,8月10日,8月30日,122
591,2010,两优816,省院,3,26.8,793.3,14,52.2,119,29,248.1,190.6,76.8,24.3,5月7日,6月5日,29,8月10日,8月14日,9月23日,139
592,2010,两优816,凤阳,4,19.8,395,14.9,75.3,137.8,27.1,251.8,187.9,74.6,23.7,5月12日,6月19日,38,8月19日,8月21日,10月10日,151
593,2010,两优816,芜湖,6.2,26.7,330.6,16.7,62.5,131.2,27.4,200.8,172.3,85.8,23.8,5月8日,6月9日,32,8月11日,8月15日,9月14日,129
594,2010,两优816,六安,3.2,22.2,593.8,16.8,75.7,133.1,28.2,240.5,205.4,85.4,26.4,4月29日,5月31日,31,8月6日,8月9日,9月9日,131
595,2010,两优816,全椒,6,29.4,390,15.3,52,139,28.1,258.7,168.6,65.2,23.8,4月30日,6月7日,37,8月13日,8月19日,9月19日,142
596,2010,Ⅱ优228,省院,3.8,26,584.2,16.7,64.1,128,27.5,188.8,128.3,67.9,27.2,5月7日,6月5日,29,8月10日,8月13日,9月14日,130
597,2010,Ⅱ优228,凤阳,3.6,20.4,466.7,15.8,77.5,128,29.5,181.4,157.7,86.9,26.9,5月12日,6月19日,38,8月14日,8月16日,10月2日,143
598,2010,Ⅱ优228,芜湖,7.6,30.6,302.6,19.1,62.4,118.5,27.3,162.3,144.6,89.1,26.6,5月8日,6月9日,32,8月11日,8月15日,9月16日,131
599,2010,Ⅱ优228,六安,3.8,30.4,700,16.4,53.9,115.6,24.5,202.4,184.5,91.2,26.7,4月29日,5月31日,31,8月2日,8月5日,9月2日,126
600,2010,Ⅱ优228,全椒,6,29.4,390,17,57.8,134.8,28.1,169.7,129.9,76.5,28.6,4月30日,6月7日,37,8月11日,8月14日,9月12日,135
