序号,年份,组合,试点,基本苗（万/亩）,最高苗（万/亩）,分蘖率(%),有效穗（万/亩）,成穗率（%）,株高（cm）,穗长（cm）,每穗总粒数,每穗实粒数,结实率(%),千粒重(g),播期（月/日）,栽期（月/日）,秧龄/天,始穗（月/日）,齐穗（月/日）,成熟期（月/日）,全生育期（天）
141,2009,川农优528,省院,4,21.2,430,13.6,64.2,131,26.6,175.1,153.5,87.7,26.8,5月5日,6月6日,32,8月13日,8月16日,9月20日,138
142,2009,川农优528,凤阳,3.9,24.6,530.8,14.8,60.2,125.6,23.9,169.5,159.4,94,30.4,5月7日,6月13日,37,8月22日,8月24日,10月3日,149
143,2009,川农优528,芜湖,5.9,24.7,318.6,15.9,64.4,137.9,26.7,180.2,150.1,83.3,28.5,5月8日,6月9日,32,8月10日,8月15日,9月16日,131
144,2009,川农优528,六安,4.6,34,639.1,16.8,49.4,132.8,24.3,163.5,148.3,90.7,31.2,4月28日,5月30日,31,8月15日,8月17日,9月14日,139
145,2009,川农优528,全椒,5.3,26.8,405.7,19.6,73.1,130.3,22.1,123.9,107.9,87.1,29.3,4月30日,6月3日,34,8月13日,8月18日,9月12日,135
146,2009,033S/R126,省院,3.8,19.6,415.8,15.4,78.6,125,27.5,179.8,132.1,73.5,30.9,5月5日,6月6日,32,8月18日,8月22日,9月25日,143
147,2009,033S/R126,凤阳,3.6,24.3,575,16.1,66.3,121.5,21.8,167.4,149.3,89.2,28.9,5月7日,6月13日,37,8月28日,9月1日,10月14日,160
148,2009,033S/R126,芜湖,7.2,27.8,286.1,16.4,59,138.3,28.1,189,155.9,82.5,30.8,5月8日,6月9日,32,8月18日,8月23日,9月20日,135
149,2009,033S/R126,六安,3.9,30.6,684.6,16.4,53.6,136,24,171.1,148.1,86.6,29.9,4月28日,5月30日,31,8月18日,8月21日,9月22日,147
150,2009,033S/R126,全椒,4.8,34.2,612.5,15.6,45.6,133.3,22.8,139.1,113.1,81.3,33.1,4月30日,6月3日,34,8月21日,8月25日,9月21日,144
151,2009,扬两优609,省院,2.8,20,614.3,12.8,64,130,25.6,166.1,144.2,86.8,27.2,5月5日,6月6日,32,8月14日,8月17日,9月20日,138
152,2009,扬两优609,凤阳,4.3,27.2,532.6,17.2,63.2,129.4,22.6,127.9,111.6,87.3,32.3,5月7日,6月13日,37,8月23日,8月26日,10月9日,155
153,2009,扬两优609,芜湖,8,29.4,267.5,17.7,60.2,137,24.4,190.8,146.5,76.8,28.1,5月8日,6月9日,32,8月14日,8月18日,9月19日,134
154,2009,扬两优609,六安,5,30.7,514,16.9,55,131.6,25.7,155.8,137.4,88.2,27.6,4月28日,5月30日,31,8月14日,8月16日,9月19日,144
155,2009,扬两优609,全椒,5.1,38.4,652.9,17.6,45.8,134.2,24.5,174.1,129.7,74.5,28.7,4月30日,6月3日,34,8月13日,8月18日,9月18日,141
156,2009,T优96,省院,3.2,18,462.5,12,66.7,134,26.2,202.7,150.5,74.2,25.2,5月5日,6月6日,32,8月12日,8月15日,9月22日,140
157,2009,T优96,凤阳,3.4,23.3,585.3,14.5,62.2,128.7,23.1,203.4,177,87,29.4,5月7日,6月13日,37,8月19日,8月21日,10月6日,152
158,2009,T优96,芜湖,6.8,25.7,277.9,17.5,68.1,129.1,25.4,178.5,142.8,80,26.9,5月8日,6月9日,32,8月9日,8月12日,9月16日,131
159,2009,T优96,六安,4.5,27.2,504.4,14.6,53.7,137.6,26,204.3,180,88.1,30.6,4月28日,5月30日,31,8月12日,8月14日,9月22日,147
160,2009,T优96,全椒,4.5,29.8,562.2,18.9,63.4,140.5,25.4,185.9,124.3,66.9,28.3,4月30日,6月3日,34,8月12日,8月15日,9月18日,141
161,2009,福两优188,省院,3.6,20.4,466.7,17,83.3,128,20.3,177.3,137.8,77.7,26.6,5月5日,6月6日,32,8月13日,8月16日,9月21日,139
162,2009,福两优188,凤阳,4.4,23.9,443.2,14.9,62.3,120.8,23.3,179.7,159,88.5,32,5月7日,6月13日,37,8月24日,8月27日,10月9日,155
163,2009,福两优188,芜湖,6.9,27.1,292.8,19.3,71.2,131.9,23.5,162.1,127.4,78.6,28.3,5月8日,6月9日,32,8月14日,8月18日,9月18日,133
164,2009,福两优188,六安,5.5,29,427.3,18.2,62.8,133.9,20.6,155.3,108.8,70.1,27.9,4月28日,5月30日,31,8月14日,8月16日,9月20日,145
165,2009,福两优188,全椒,3.9,26.4,576.9,17.2,65.2,136.7,20.1,164.5,130.5,79.3,28.7,4月30日,6月3日,34,8月13日,8月19日,9月12日,135
166,2009,紫金稻11号,省院,4.4,26.8,509.1,15.4,57.5,135,23.3,137.3,110.7,80.6,29.8,5月5日,6月6日,32,8月14日,8月17日,9月21日,139
167,2009,紫金稻11号,凤阳,3.8,23.4,515.8,14.4,61.5,118,24,152.1,135.4,89,30.1,5月7日,6月13日,37,8月28日,8月30日,10月12日,158
168,2009,紫金稻11号,芜湖,6.5,25.3,289.2,16.5,65.2,132.3,24,159.7,130,81.4,31.4,5月8日,6月9日,32,8月17日,8月21日,9月20日,135
169,2009,紫金稻11号,六安,5.2,32.6,526.9,16.7,51.2,128.3,22.2,131.8,112.8,85.6,30.5,4月28日,5月30日,31,8月16日,8月18日,9月20日,145
170,2009,紫金稻11号,全椒,5,37.8,656,16.9,44.7,133.8,21.3,142.3,124.3,87.4,30.5,4月30日,6月3日,34,8月15日,8月21日,9月19日,142
171,2009,Ⅱ优838（CK）,省院,3.6,20.8,477.8,14.4,69.2,128,23.1,205.6,186.1,90.5,26.3,5月5日,6月6日,32,8月10日,8月12日,9月20日,138
172,2009,Ⅱ优838（CK）,凤阳,4,25.5,537.5,15.3,60,122.8,23.1,165.8,148.4,89.5,29.6,5月7日,6月13日,37,8月19日,8月21日,10月1日,147
173,2009,Ⅱ优838（CK）,芜湖,7.6,28.5,275,17.6,61.8,129.2,23.6,167.3,141.7,84.7,28.6,5月8日,6月9日,32,8月10日,8月13日,9月17日,132
174,2009,Ⅱ优838（CK）,六安,5.3,29.4,454.7,17.2,58.5,129.4,21.4,156.1,139.1,89.1,26.9,4月28日,5月30日,31,8月10日,8月14日,9月17日,142
175,2009,Ⅱ优838（CK）,全椒,5.4,31.4,481.5,16.6,52.9,133.2,20.9,149.1,133.1,89.3,28.5,4月30日,6月3日,34,8月13日,8月20日,9月16日,139
176,2009,Y58S/R126,省院,4.4,24.4,454.5,16.8,68.9,124,26.5,159.3,131.3,82.5,27.5,5月5日,6月6日,32,8月17日,8月20日,9月24日,142
177,2009,Y58S/R126,凤阳,3.8,23.9,528.9,15.5,64.9,121.4,27,170,158.2,93.1,29.4,5月7日,6月13日,37,8月24日,8月27日,10月11日,157
178,2009,Y58S/R126,芜湖,6.1,25.2,313.1,17.8,70.6,129.8,23.7,176.8,148.3,83.9,27.9,5月8日,6月9日,32,8月16日,8月20日,9月20日,135
179,2009,Y58S/R126,六安,4.2,38,804.8,19.4,51.1,126.4,25,148,121.5,82.1,28.9,4月28日,5月30日,31,8月16日,8月18日,9月21日,146
180,2009,Y58S/R126,全椒,4.5,25.2,460,18.4,73,129.5,24,141.2,118,83.6,30.7,4月30日,6月3日,34,8月14日,8月20日,9月17日,140
181,2009,益两优23,省院,4.6,22.8,395.7,14.2,62.3,135,24.6,195.6,149.6,76.5,28.3,5月5日,6月6日,32,8月11日,8月14日,9月20日,138
182,2009,益两优23,凤阳,3.5,22.5,542.9,13.6,60.4,124.6,22.2,169,137.8,81.5,31.9,5月7日,6月13日,37,8月24日,8月27日,10月4日,150
183,2009,益两优23,芜湖,5.8,24.5,322.4,16,65.3,132.7,30.4,205.4,160.4,78.1,29.3,5月8日,6月9日,32,8月13日,8月18日,9月17日,132
184,2009,益两优23,六安,4.2,28.4,576.2,17.9,63,136.3,24,211.7,159.7,75.4,32.1,4月28日,5月30日,31,8月12日,8月14日,9月17日,142
185,2009,益两优23,全椒,3.6,27.6,666.7,17.4,63,140.7,23.8,178.8,125.4,70.1,30.2,4月30日,6月3日,34,8月13日,8月19日,9月16日,139
186,2009,巢优5010,省院,3.4,22.4,558.8,15.4,68.8,116,25.4,133.7,104.5,78.2,30.6,5月5日,6月6日,32,8月21日,8月24日,9月25日,143
187,2009,巢优5010,凤阳,4.2,24.4,481,15.1,61.9,111.2,24.1,155.5,132.5,85.2,29.5,5月7日,6月13日,37,8月28日,8月31日,10月12日,158
188,2009,巢优5010,芜湖,7.1,26,266.2,15.4,59.2,124.4,26.7,160.6,123.2,76.7,31.2,5月8日,6月9日,32,8月19日,8月24日,9月21日,136
189,2009,巢优5010,六安,5.3,28.8,443.4,17.1,59.4,122.2,26.1,149,119.6,80.3,31.8,4月28日,5月30日,31,8月22日,8月24日,9月23日,148
190,2009,巢优5010,全椒,4.8,30.4,533.3,19.6,64.5,122.8,23.1,116.1,98.4,84.8,31.8,4月30日,6月3日,34,8月21日,8月26日,9月19日,142
191,2009,两优696,省院,3.6,20.6,472.2,12.6,61.2,123,25.8,179.2,128,71.4,27.9,5月5日,6月6日,32,8月8日,8月11日,9月24日,142
192,2009,两优696,凤阳,4.2,22.8,442.9,13.8,60.5,123.8,23.9,213.1,165.3,77.6,27.7,5月7日,6月13日,37,8月27日,8月31日,10月15日,161
193,2009,两优696,芜湖,7.3,26.5,263,16.3,61.5,129.8,23.9,167.6,131.6,78.5,28.8,5月8日,6月9日,32,8月18日,8月22日,9月19日,134
194,2009,两优696,六安,3.6,24.6,583.3,16.8,68.3,128.1,23.3,155.3,107.6,69.3,27.3,4月28日,5月30日,31,8月17日,8月19日,9月21日,146
195,2009,两优696,全椒,3.9,30.2,674.4,17.6,58.3,136.7,23.9,177.5,116.7,65.7,28.3,4月30日,6月3日,34,8月17日,8月21日,9月20日,143
196,2009,孟两优2816,省院,3.6,19.6,444.4,16.6,84.7,133,24.6,171.4,126.3,73.7,24.1,5月5日,6月6日,32,7月25日,8月1日,9月12日,130
197,2009,孟两优2816,凤阳,4,22.1,452.5,13.9,62.9,112.7,26.1,188.1,160.8,85.5,30.1,5月7日,6月13日,37,8月3日,8月9日,9月16日,132
198,2009,孟两优2816,芜湖,7.1,27.3,284.5,16.4,60.1,136.3,26.7,165,131.8,79.9,27,5月8日,6月9日,32,7月25日,7月31日,8月31日,115
199,2009,孟两优2816,六安,4.1,29.8,626.8,16.5,55.4,141.2,25.3,180.1,153.9,85.5,26.1,4月28日,5月30日,31,7月30日,8月2日,9月4日,129
200,2009,孟两优2816,全椒,4.2,28.8,585.7,16.6,57.6,134.7,25.5,182.1,158.6,87.1,25.2,4月30日,6月3日,34,7月22日,7月29日,9月7日,130
201,2009,孟两优705,省院,3.4,26.2,670.6,16.2,61.8,131,27.4,155,128.1,82.6,24.4,5月5日,6月6日,32,7月21日,8月3日,9月10日,128
202,2009,孟两优705,凤阳,4.2,26.3,526.2,16.8,63.9,101.6,23.9,126.4,115.9,91.7,28.4,5月7日,6月13日,37,8月7日,8月11日,9月13日,130
203,2009,孟两优705,芜湖,6.8,26.4,288.2,15.8,59.8,126.9,27.6,167.3,132.5,79.2,25.7,5月8日,6月9日,32,7月29日,8月2日,9月3日,118
204,2009,孟两优705,六安,3.9,35.4,807.7,16.8,47.5,125.8,24.9,155.6,121.4,78,25.9,4月28日,5月30日,31,7月28日,7月31日,8月30日,125
205,2009,孟两优705,全椒,5.2,30.2,480.8,17.2,57,129,25.7,134.2,117.4,87.5,25.6,4月30日,6月3日,34,7月26日,7月28日,9月3日,126
206,2009,固香二号,省院,4.2,19.6,366.7,15.6,79.6,128,22.9,200.2,147.6,73.7,22.5,5月5日,6月6日,32,8月11日,8月14日,9月16日,134
207,2009,固香二号,凤阳,4.1,24.6,500,15.8,64.2,118.4,21.9,186,138.7,74.6,25.2,5月7日,6月13日,37,8月19日,8月21日,9月27日,143
